title,companyname,location,salary,summary,description
"Senior Software Engineer - Machine Learning & Algorithms, Si...",Apple,Singapore,None,"You can actively participate in investigations into multiple streams of ads quality data, and draw conclusions from data, recommend actions.","Summary
Posted: Apr 23, 2020
Weekly Hours: 40
Role Number:200166061
At Apple, we work every single day to build products that enrich people’s lives! Do you enjoy working on challenges that are not yet solved? Imagine what you could do here at Apple! Our Advertising Platforms group makes it possible for people around the world to easily access informative and visionary content on their devices. Meanwhile, we help publishers and developers to promote and monetize their work. We are a team of passionate scientists and technologists, dedicated to help publishers and developers find their audience, and changing the way advertising works with data. Our technology and services power advertising in Apple News and Search Ads in App Store. Our platforms are highly-performant, deployed at scale, and setting new standards for enabling effective advertising while protecting user privacy. We are looking for an ambitious individual who can thrive in a fast-paced environment. You will develop, implement and deploy to production new advertising algorithms and supporting capabilities. The position also involves developing a keen understanding of the ad network behavior; detecting important data patterns; assuring the integrity and breadth of the data; measuring user, campaign and app performance; and finally analyzing the results of very large-scale experiments. In particular, this position will focus on making sure our advertising is meaningful and relevant in Asian languages and markets by developing new language and regional models incorporating localized, contextual and relevant information.
Key Qualifications
You can apply advanced statistical methods and work with large, complex data sets.
You can actively participate in investigations into multiple streams of ads quality data, and draw conclusions from data, recommend actions.
You have experience in some of the following domains: Algorithms, Architecture, Artificial Intelligence, Database Systems, Data Mining, Distributed Systems, Machine Learning, Networking, Statistics, Game Theory, Auction Design, or other experience with rigorous Quantitative Analysis or Systems Software implementation.
You have had to develop in Python or Java.
You are familiar with databases, SQL, and scripting languages.
You have a practical understanding of modern machine learning and its components.
You enjoy working closely with operational teams on deployment, monitoring, and management concerns.
You can take requirements from design through to implementation both independently and with larger teams.
Description
At Ad Platforms, we are constantly improving our algorithms to provide amazing user experiences and drive value for publishers and developers. You will find opportunities for improvement in our platform and build out data products that drive value for our advertisers. You will invent, design and implement new algorithms using machine learning and data science systems. You will have the opportunity to design and implement experimentation strategies to understand the impact of new models, work with cross functional teams to prototype new concepts, and deliver end-to-end systems in an agile setting. You will work with colleagues on a shared code base, sharing and contributing in a highly collaborative environment.
Education & Experience
BS or MS in computer science or equivalent field with 7+ years relevant experience"
"Senior Research Scientist","Singapore Management University",Singapore,None,"Data and Text Mining Machine Learning Deep Learning Crowdsourcing Recommender Systems Social-Urban Sensing Big Data Infrastructure The Research Scientist will…","The Research Scientist will work with faculty researchers on one or more of the following research topics in the urban/social computing, smart cities and consumer business domains. Data and Text Mining Machine Learning Deep Learning Crowdsourcing Recommender Systems Social-Urban Sensing Big Data Infrastructure The Research Scientist will also be responsible for one or more of the following Designing research methodologies Developing algorithms and models Conducting data science studies Designing and conducting experiments Designing and implementing applications, tools and systems Developing analytics capabilities in big data infrastructure Qualifications Phd in Computer Science Good knowledge in relevant research topics and related research skills Proficient in at least one or more of these programming languages: Java, Python, C#, C++ and C"
"Research Associate",Givaudan,Singapore,None,"Reporting to the Technology Scientist, you will:
Do you want to grow your career as a scientist and researcher?
Then come join us – and impact your world.","Research Associate – Fragrances – Your Future Position?
Are you passionate about science and intrigued by Fragrance? Do you want to grow your career as a scientist and researcher? If so this role of Research Associate within Givaudan’s Delivery System Centre of Excellence (Fragrance) could be the ideal next step for you. As Research Associate, you would be part of Givaudan’s dynamic Science and Technology department based in our Singapore Encapsulation Centre (Pioneer).
The Delivery System Centre of Excellence is responsible for providing expertise in the micro-encapsulation systems that are used to deliver heightened fragrance experience in a wide range of consumer products such as detergents, fabric softeners, and personal care products. The Research Associate will play a critical role in providing technical solutions on research and development projects. You will be essential in building local capabilities and knowledge within the field and contributing to further innovation in the field of Fragrance Encapsulation.
Sounds interesting? It could well be your perfect opportunity if, like us, you always aim to exceed customer needs, deliver value and are constantly thinking outside of the box to find solutions. Reporting to the Technology Scientist, you will:
Synthetize and characterize encapsulated perfumes, use the scientific method; collect data using the appropriate tools (MS Office, database, electronic lab notebook); gather and capture information; help to improve knowledge on fragrance delivery systems; strive for functional excellence in planning, execution, observation and interpretation of experiments
Participate actively to the laboratory management, stock monitoring; write safe work procedures; maintain lab equipment and good housekeeping practices
Be part of a multidisciplinary environment, interact with other departments within the Singaporean Creative Center and with the Fragrance Delivery Center of Excellence (Argenteuil, France)

You?
Are you someone who wants to grow and shape your own world? Who thrives being in a culture where you can express yourself in a creative team environment? Who wants to collaborate and learn together with teams who are as passionate as you are? Then come join us – and impact your world.
Your professional profile includes:
A Bachelor’s or Master’s degree in Chemistry or related field
Preferably a basic knowledge of fragrance science and technology
Excellent understanding of safe working in a laboratory environment
Keen sense of observation, meticulous analytical and synthesis skills
A desire to take the initiative, to be a team-player and to work with a strong internal and external customer focus
Good working knowledge of English
LI - Y"
"Specialist SA, Machine Learning","Amazon Web Services Singapore",Singapore,None,"Familiarity with using data visualisation tools.
Track record of diving into data to discover hidden patterns.
Your roles and responsibilities will include:","3+ years of experience in design/implementation/consulting for Machine Learning/AI/Deep Learning solutions
3+ years of experience with one or more Deep Learning frameworks such as Apache MXNet, TensorFlow, Caffe2, Keras, Microsoft Cognitive Toolkit, Torch and Theano
5+ years professional experience in software development in languages related to ML like Python or R. Experience working with RESTful API and general service-oriented architectures
3+ years of experience in technical architecture, design, deployment and operations for AI platforms, standards, protocols and devices

Are you passionate about Artificial Intelligence, Machine Learning and Deep Learning? Are you passionate about helping customers build solutions leveraging the state-of-the-art AI/ML/DL tools on Amazon Web Service (AWS)?

Come join us!

At Amazon, we’ve been investing deeply in artificial intelligence for over 20 years, and many of the capabilities customers experience are driven by machine learning. Amazon.com’s recommendations engine is driven by machine learning (ML), as are the paths that optimise robotic picking routes in our fulfilment centres. Our supply chain, forecasting, and capacity planning are also informed by ML algorithms. Alexa is fueled by Natural Language Understanding and Automated Speech Recognition deep learning; as is Prime Air, and the computer vision technology in our new retail experience, Amazon Go. We have thousands of engineers at Amazon committed to machine learning and deep learning, and it’s a big part of our heritage.

Within AWS, we’re focused on bringing that knowledge and capability to customers through three layers of the AI stack:
1) Frameworks and Infrastructure with tools like Apache MxNet and TensorFlow,
2) Machine Learning Platforms such as Amazon SageMaker for data scientists and
3) API-driven Services like Amazon Lex, Amazon Polly, Amazon Transcribe, Amazon Comprehend, and Amazon Rekognition to quickly add intelligence to applications with a simple API call.

AWS is looking for a Machine Learning Solutions Architect (ML SA), who will be the Subject Matter Expert (SME) for helping customers in ASEAN design solutions that leverage our ML services. As part of the team, you will work closely with customers to enable large-scale use cases, design ML pipelines, and drive the adoption of AWS for the ML/AI platforms. You will interact with other SAs in the field, providing guidance on their customer engagements, and you will develop white papers, blogs, reference implementations, and presentations to enable customers to fully leverage ML/AI on AWS. Additionally, as the voice of the customer, you will work closely with the service teams, and submit product feature requests to drive the platform forward.

You must have deep technical experience working with technologies related to artificial intelligence, machine learning and/or deep learning. A strong mathematics and statistics background is preferred in addition to experience building complex machine learning models. You will be familiar with the ecosystem of software vendors in the AI/ML space, and will leverage this knowledge to help AWS customers in their selection process.

Your roles and responsibilities will include:
Work with customers’ development and data science teams to deeply understand their business and technical needs and design ML solutions that make the best use of AWS SageMaker, the AWS AI Services and the AWS cloud platform.
Thought Leadership – Evangelise AWS ML services and share best practices through forums such as AWS blogs, whitepapers, reference architectures and public-speaking events such as AWS Singapore Summit, AWS re:Invent, etc.
Partner with SAs, Sales, Business Development and the AI/ML Service teams to accelerate customer adoption and revenue attainment in ASEAN of Amazon SageMaker.
Act as a technical liaison between customers and the AWS SageMaker services teams to provide customer driven product improvement feedback.
Contribute to the development and support of an AWS internal community of ML related subject matter experts.

Graduate degree in a highly quantitative field (Computer Science, Machine Learning, Operations Research, Statistics, Mathematics, etc.)
· 5+ years of industry experience in predictive modeling and analysis · Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relationships
Consulting experience and track record of helping customers with their AI needs
Publications or presentation in recognised Machine Learning, Deep Learning and Data Mining journals/conferences
Experience with AWS technologies like Sagemaker, Redshift, S3, EC2, Data Pipeline, Kinesis & EMR
Knowledge of SparkML
Able to write production level code, which is well-written and explainable
Experience using ML libraries, such as scikit-learn, caret, mlr, mllib
Experience working with GPUs to develop models
Experience handling terabyte size datasets
Track record of diving into data to discover hidden patterns
Familiarity with using data visualisation tools
Knowledge and experience of writing and tuning SQL
Past and current experience writing and speaking about complex technical concepts to broad audiences in a simplified format
Experience giving data presentations
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
"Data Scientist cum Analyst","Career Edge Asia Pte Ltd",Singapore,"$7,000 a month","Manage data analysis (large structured and unstructured data analysis) and identify trends on lead and pipeline creation.
5 working days, Mon – Fri.","Responsible to mange dashboards and reports on Campaigns statistics analysis
Manage data analysis (large structured and unstructured data analysis) and identify trends on lead and pipeline creation
Analyse customer behavious on solutions to optimize programs for maximum impact
Responsible for data driven marketing and manage systems engineering and media analysis]
Requirements
Degree in Marketing/Computer Science Systems Engineering , Business, data analysis related
Min 3 years experience in marketing data statistic analaysis, technical program management, media analytics
Proficient in SQL, database definition and schema design
Preferably experience in B2B marketing technology
Location: Central
5 working days, Mon – Fri
Salary range: $7K
Competitive remuneration package will be offered to the shortlisted candidate.
Interested candidates, please send your updated CV in MS Words format stating your last drawn salary, expected salary, notice period and reason for leaving last / past employment(s) and email to recruit21@caed.com.sg for priority processing.
Attn: Jace Tay (Registration No.: R1331152)
CAREER EDGE ASIA PTE LTD
EA Licence Number: 13C6678
To find out more job opportunities, visit Career Edge Asia at www.caed.com.sg for all job listings.
Email: recruit@caed.com.sg
More Information
Salary Offer $7K"
"Assistant Manager, Data & Innovation","AXA INSURANCE PTE. LTD.","Shenton Way","$6,500 - $9,500 a month","Data mining, clustering, artificial intelligence, machine learning.
As a Senior Data Scientist, your main mission will be to provide your technical expertise…","Roles & Responsibilities
As a Senior Data Scientist, your main mission will be to provide your technical expertise both to shape the data strategy of the company and to provide actual solutions to business challenges faced currently by operational entities in the field of customer processes, business processes and new services.

KEY ACCOUNTABILITIES:
Business Modeling:
Understanding operational needs by collaborating with specialized teams
Formalize needs into mathematical models and problems
Explore databases (including large databases, unstructured and open) to find relationships and insights
Problem solving:
By leveraging the formalization of appropriate problems, proposing solutions based on available tools
Statistics: regression and statistical analysis
Algorithms: data mining, clustering, artificial intelligence, machine learning
Deep learning
Select or create the relevant technical data processing solutions for the needs addressed
Manage and transmit the knowledge through appropriate documentation and events (training courses, seminar, etc.)
Contribute to the data strategy of the company:
Link business needs to analytical solutions
Build and promote data strategic assets for the business: marketing, products, services and tools
Maintain and evolve the part of the innovation process linked to the data science activity
Put in place the metrics and the dashboards to provide visibility for data science activity
Present and promote solutions through relevant communities and committees
EXPERIENCE & QUALIFICATIONS:
Master’s degree in Computer Science, Computer Engineering, mathematics, statistics, physics or similar;
Deep understanding of machine learning concepts (regression, classification, clustering, dimensionality reduction), deep learning (CNN, RNN/LSTM, GAN), , time series data (DeepAR, Prophet), anomaly detection, compute vision and statistical algorithms;
Ability to model the reality of business into equations, and to understand the implications and limitations of a model;
Relevant work experience in data processing (data mining, social network analysis, text mining, etc.);
Proficient in Python & Spark;
Strong knowledge in machine learning tools and libraries (scikit-learn, MLlib, etc.), Python deep learning ecosystem (PyTorch, Tensorflow, Keras, MXNet, etc), databases (relational and NoSQL), data visualization, web scripting;
At least 5 years of strong professional experience; [CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]

[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]"
"Sen. Risk Management Data Scientist","Credit Suisse",Singapore,None,"Risk Management Data Scientist #147467.
Python, PySpark, SQL and have experience in using big data platforms including the development of big data pipelines,…","Sen. Risk Management Data Scientist #147467
Singapore-Singapore-Singapore
|
Full-time (FT)
|
Corporate Functions
|
Job ID
147467
Credit Suisse is a leading global wealth manager with strong investment banking capabilities. Headquartered in Zurich, Switzerland, we have a global reach with operations in about 50 countries and employ more than 45,000 people from over 150 different nations. Embodying entrepreneurial spirit, Credit Suisse delivers holistic financial solutions to our clients, including innovative products and specially tailored advice. Striving for quality and excellence in our work, we recognize and reward extraordinary performance among our employees, provide wide-ranging training and development opportunities, and benefit from a diverse range of perspectives to create value for our clients, shareholders and communities. We are Credit Suisse.
We Offer

The Risk Intelligence Analytics team is part of Credit Suisse’s Global Risk Intelligence Team. Our team provides decision-makers across the world with meaningful and actionable data oriented insights. Our work enables aggregating known risk (connecting the dots), forward looking and externally aware, challenging known risks, illuminating unknown risk and ensuring actively handle and reduce legacy risk while improving business return and revenue generation. Working across the organization at all levels creating partnerships to enhance analysis rigor in line with strategic priorities, building and leading advanced analytics solutions.

Provide impactful, holistic and dynamic risk intelligence with direct accountability for guiding data and analytics strategies that aligns with the global objectives, and anticipates environmental challenges. Provide market leading differentiation enabling risk managed growth.
It is a key element in improving competitive market factors such as customer experience and product development at a time when the firm is building more holistic and long-lasting customer relationships, integrating its global investment banking, wealth and asset management businesses and expanding investment into new markets.

A department which values Diversity and Inclusion (D&I) and is committed to realizing the firm’s D&I ambition which is an integral part of our Global Conduct and Ethics Standards.
Opportunity to become part of highly motivated Analytics team for Credit Suisse based in Singapore focusing on building and driving analytical capabilities in creating forward looking and externally aware, predictive risk based return insights
Building capability and analytics talent who can conduct rapid diagnostics, inject analytical rigor to risk monitoring solutions
Developing the analytic solution suites and partner with IT to develop associated infrastructure that can be used cross regions and businesses
Developing consistent and scalable analytical approaches (descriptive analytics, statistical predictive modeling and machine learning) appropriate for specific markets, product lines and risk types.
Responsibility for developing, maintaining and extracting knowledge from strategic internal and external data sets
Studying fundamental and high impact business questions that directly affect the direction of the company and the industry at large
Developing and designing algorithms, building prototype versions, running multiple validations with business experts and working on their operationalization
Collaboratively work in a team with a strong team spirit in a fast paced dynamic and flexible working environment


You Offer
At least 5 years financial industry experience in risk-related discipline (market/credit/enterprise). Experience covering multiple risk types will be added advantage.
Hold a PhD or Master’s degree in a quantitative field (e.g. Data Science, Machine Learning, Statistics, Mathematics, and Physics), Computer Science or an equivalent education
At least 3-5 years of experience in applying statistical modelling, machine learning and / or exploratory analysis to large datasets: classification, Machine Learning algorithms both Supervised and Unsupervised with Experience in Natural Language Processing (NLP) and/or knowledge extraction from unstructured data being mandatory.
Proficient in at least one of the following: Python, PySpark, SQL and have experience in using big data platforms including the development of big data pipelines, relational database programming and distributed data processing at scale e.g. Spark or Hive.
Outstanding written, verbal communication skills and business partner management capabilities, ability to effectively collaborate and build positive relationships across all levels while maintaining integrity, responsibility and confidentiality required when dealing with sensitive data.
Experience leading a team and possess experience as an ambitious individual and who can contribute in a highly collaborative environment to achieve success for the team. High level of integrity, sense of urgency, attention to detail and quality standards. You should be able to take on added responsibilities as required and become a knowledge carrier within the team.
Understand the value of diversity in the workplace and is dedicated to fostering an inclusive culture in all aspects of working life so that people from all backgrounds receive equal treatment, realize their full potential and can bring their full, authentic selves to work. This should be further elaborated on in your application.

Credit Suisse is an equal opportunity employer. Welcoming diversity gives us a competitive advantage in the global marketplace and drives our success."
"Data Scientist","Ministry of Home Affairs",Singapore,None,"Passionate about data analytics, data mining, logic, and problem solving.
Conducting end-to-end data mining on complex data sources, including processing,…","The Ministry of Home Affairs (MHA) aspires to be world-class in delivering a safe and secure home for our people. In pursuing our mission to help make Singapore safe and secure, we remain always constant and true to our core values of Honour and Unity.
MHA utilises state-of-the-art technology and technical know-how to safeguard Singapore’s security and sovereignty. To stay ahead of increasingly sophisticated threats, we have embarked on a journey to leverage on big data, making data analytics part of our operations. We are constantly on a lookout for potential candidates who are interested in working with a large range and volume of data; candidates who are able to dissect, distil,and deliver actionable insights based on complex and varied data sets.
Besides being passionate about data, analytics and problem solving, candidates should also be driven by our mission to make Singapore a safer home, and enjoy working on challenging, diverse and unique problem statements. You will be supported by a team of highly technical and collaborative colleagues with opportunities for advanced training, including leading overseas conferences and courses.

Responsibilities
Conducting end-to-end data mining on complex data sources, including processing, cleaning, integrating, analysing, visualising and detecting anomalies
Present and communicate data-driven findings and recommendations in a coherent, intuitive and concise manner to stakeholders and management
Evaluate and improve upon internal analytical and machine learning tools
Identify, select, and develop suitable AI or machine learning models for a wide array of problem statements and business principles
Work closely with end users, data engineers and project managers in the planning, development, scaling up, and delivery of solutions

Requirements
Singapore Citizens only.
Fresh Graduates are welcome to apply.
Curious, self-motivated, resourceful, meticulous and enjoys challenges.
Passionate about data analytics, data mining, logic, and problem solving.
Excellent understanding of mathematical, statistical and analytical concepts, and how they can be applied.
Interest and ability to gain expertise in and keep abreast of new developments in data mining/ machine learning/ data analytics algorithms, tools and methods.
Ability to keep the overarching objectives of the project in mind while pursuing the technical details.
Knowledge and experience with the following would be an advantage :
o Statistical, analytical or numerical computing software and tools (e.g. R, SAS, SPSS, Stata, Matlab)
o Programming or scripting (Python, Java, JavaScript, C/C++, C#, Scala)
o Visual analytics or data visualisation techniques (e.g. Tableau, Power BI, D3)
o Machine learning and modelling (e.g. predictive analytics, natural language processing)
o Databases and related querying languages (e.g. SQL, Pig, Hive, SparkQL)
o Big data systems (e.g. Hadoop, Spark, Pig, Hive, MapReduce)
We regret to inform that only shortlisted candidates will be notified."
"Assistant Manager, Data and Innovation","AXA INSURANCE PTE. LTD.","Shenton Way","$6,000 - $9,000 a month","Data mining, clustering, artificial intelligence, machine learning.
As a Senior Data Scientist, your main mission will be to provide your technical expertise…","Roles & Responsibilities
As a Senior Data Scientist, your main mission will be to provide your technical expertise both to shape the data strategy of the company and to provide actual solutions to business challenges faced currently by operational entities in the field of customer processes, business processes and new services.

KEY ACCOUNTABILITIES:

Business Modeling:
Understanding operational needs by collaborating with specialized teams
Formalize needs into mathematical models and problems
Explore databases (including large databases, unstructured and open) to find relationships and insights

Problem solving:
By leveraging the formalization of appropriate problems, proposing solutions based on available tools
Statistics: regression and statistical analysis
Algorithms: data mining, clustering, artificial intelligence, machine learning
Deep learning
Select or create the relevant technical data processing solutions for the needs addressed
Manage and transmit the knowledge through appropriate documentation and events (training courses, seminar, etc.)
Contribute to the data strategy of the company:
Link business needs to analytical solutions
Build and promote data strategic assets for the business: marketing, products, services and tools
Maintain and evolve the part of the innovation process linked to the data science activity
Put in place the metrics and the dashboards to provide visibility for data science activity
Present and promote solutions through relevant communities and committees
EXPERIENCE & QUALIFICATIONS:
Master’s degree in Computer Science, Computer Engineering, mathematics, statistics, physics or similar;
Deep understanding of machine learning concepts (regression, classification, clustering, dimensionality reduction), deep learning (CNN, RNN/LSTM, GAN), , time series data (DeepAR, Prophet), anomaly detection, compute vision and statistical algorithms;
Ability to model the reality of business into equations, and to understand the implications and limitations of a model;
Relevant work experience in data processing (data mining, social network analysis, text mining, etc.);
Proficient in Python & Spark;
Strong knowledge in machine learning tools and libraries (scikit-learn, MLlib, etc.), Python deep learning ecosystem (PyTorch, Tensorflow, Keras, MXNet, etc), databases (relational and NoSQL), data visualization, web scripting;
At least 5 years of strong professional experience; [CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]

[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]"
"Forensic Scientist, Forensics","Home Team Science and Technology Agency (HTX)",Singapore,None,"Analyse and interpret data, and prepare reports.
HTX is the world’s first Science and Technology agency that integrates a diverse range of scientific and…","HTX is the world’s first Science and Technology agency that integrates a diverse range of scientific and engineering capabilities to innovate and deliver transformative and operationally-ready solutions for homeland security. As a statutory board of the Ministry of Home Affairs and integral to the Home Team, HTX works at the forefront of science and technology to empower Singapore’s frontline of security. Our shared mission is to amplify, augment and accelerate the Home Team’s advantage and secure Singapore as the safest place on planet earth.
The Forensics Centre of Expertise develops the capability and capacity through research, development and continuous innovation in order to provide scientific and technological forensic analyses, advice and deliver quality, accurate and prompt intelligence so that crimes can be solved better and faster.
The jobholder will play a key role in enhancing the Ministry’s drug enforcement efforts against the harms of drugs and the rising threat of new psychoactive substances. He/she will work alongside a team of forensic scientists to research, develop and validate new methods to evaluate the effects of drug use on neurochemical processes and in drug characterization. He/she may also be involved in the evaluation of new techniques and technologies for the detection and characterisation of drugs in the field to assist with enforcement efforts against illicit drug activities.

Responsibilities
The scope of work also includes the following:
Analyse and interpret data, and prepare reports
Develop, optimize and validate techniques, laboratory protocols, standard operating procedures and risk assessment documentations
Upkeep the laboratory to ensure it conforms to accreditation requirements
Stay current of the latest drug forensics and analytical trends
Collaborate closely with operational stakeholders to identify new forensic requirements in the areas of drug investigations, intelligence and operations
Present at local and international fora such as conferences, seminars and meetings
Perform laboratory administrative (e.g. procurement, lab and equipment maintenance, inventory) and other additional duties as required or assigned by supervisors

Job requirements
Applicants shall minimally have a tertiary education in Pharmacology or Toxicology or a related science discipline, and preferably a minimum of three (03) years of relevant industry or research experience
Experience with cytometry, cell culturing, ligand binding and functional assays is preferred
Experience in multivariate analysis and/or principal component analysis will be advantageous
Passionate in the pursuit of scientific innovations that are aligned with the Home Team’s mission
Ability to prioritize and multi-task effectively to ensure that deliverables are met in a timely manner
An independent worker as well as a strong team player who can work collaboratively with cross-functional teams and technology providers
Strong sense of responsibility, self-motivated, high initiative, meticulous and possess strong
critical thinking skills
Possess strong written, technical and oral communication skills
Able to respond to operational needs outside office hours, as and when required

All new appointees will be appointed on a two-year contract in the first instance.
We wish to inform that only shortlisted candidates will be notified within 30 days upon closing of the advertisement."
"#SGUnitedJobs Business Analyst (Data Analytics)","GOVERNMENT TECHNOLOGY AGENCY",Singapore,"$6,000 - $10,000 a month","He/ She should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data…","Roles & Responsibilities
We are looking for Business Analysts (Data Analytics) who’s interested in using data to help the government design solutions that address its policy and business problems, and stay close to the needs of the general public. The applicant will be responsible for demonstrating how better use of data can help recommend new policies, streamline operations or bring more customised solutions for citizens. He/ She should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data visualisation.

What to Expect:
Provide data analytics consulting services to the government agencies, including data analytics planning and strategy – perform data analytics visioning and road-mapping, business case development, implementation planning, organisational planning, budget and risk management planning
Work closely with stakeholders to understand their needs/ pain points, scope the problem and develop business case on how to turn data into critical information and knowledge that can be used for policy making, streamlining operations or developing solutions for citizens.
Advise stakeholders on the key ICT trends and best practices in data analytics, assess applicability for adoption and recommend solution that best fits stakeholders’ needs
Perform data cleaning, pre-processing and feature engineering that facilitate meaningful analysis
Work closely with data scientists to mine insights from structured and unstructured data and to resolve complex statistical modelling problems to answer pertinent business questions.
Design dashboards and interactive visualisation as tools for data exploration as well as for storytelling. Present analytics insights to business users and stakeholders
Work with stakeholders to ensure smooth deployment and adoption of new solution
How to Succeed:
Degree/Master in any discipline that would equip the candidate with the necessary skills to come up with strategic solutions for IT projects
Minimum 3 years of relevant working experience
Ability to take a broad, strategic perspective as well as drill deep to understand business needs and challenges
Understand key concepts, techniques and considerations in Machine learning and Data analytics
Training and relevant experience in one or more of the following areas:
Statistical modelling tools such as: R, Python, RapidMiner, Knime, SAS, Matlab or SPSS
Data manipulation using scripting languages like Python or using ETL tools
Visual analytics technologies like Tableau, Qlikview or D3.js
End-to-end analytics architecture, preferably with some working knowledge of big data stack
Excellent communications skills, both oral and written, with ability to pitch ideas and influence stakeholders
Strong analytical, conceptualisation and problem solving skills
Team player with strong organisation and people handling skills
Passion for the use of analytics and data to improve public service [CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]

[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]"
"Data scientist â€“ Logistics","Kerry Consulting Pte Ltd",Singapore,None,"This is an end to end data scientist role â€“ from working with datasets from various data sources, designing PoCs, producing effective visualization and…","Job Description :
Description

Regional headquarter in Singapore
Newly Setup team
Global Logistic Company
This is a top tier global logistics firm with regional headquarters in Singapore. One of their key recipes for success is the continuous push for innovation and in line with this vision; the company set up a data science team 3 years ago and is hiring again due to their success.
This is an end to end data scientist role â€“ from working with datasets from various data sources, designing PoCs, producing effective visualization and dashboards to developing scalable software solutions. The candidate will have the opportunity to interact closely with the business to truly understand their problems and come up with impactful data solutions.
You should come with a technical degree ideally in Computer Science with strong programming language ideally in Python. Candidates with experience in developing NLP and image recognition models are preferred. This is a fluid environment where one can express their creativity. Candidates who are good team player and enjoys self-direction will thrive in the team.
Interested candidates, please send your CV to sz@kerryconsulting.com quoting SZ17412 .Due to the high volume of applications, only shortlisted candidates are notified.

Job Description : Description * Regional headquarter in Singapore * Newly Setup team * Global Logistic CompanyThis is a top tier global logistics firm with regional headquarters in Singapore. One of their key recipes for success is the"
"Hiring for Data Scientist","Aryan Search Pte Ltd",Singapore,"$60,000 - $72,000 a year","Own data quality for various data flows.
Design, build and manage data marts to satisfy our growing data needs.
Build expertise on the data.","We are looking for Data Scientist’s for one of the global leading IT Technology company based in Singapore. Role – Data Scientist Location - Singapore, Salary – SGD 6000 – SGD 7000/ Month

Responsibilities:
Develop and manage streaming data pipelines at enterprise scale.
Build expertise on the data. Own data quality for various data flows.
Design, build and manage data marts to satisfy our growing data needs.
Support data marts to provide intuitive analytics for internal customers.
Design and build new framework and automation tools to enable teams to consume and understand data faster
Use your expert coding skills across a number of languages like SQL, Python and Java to support data scientists.
Interface with internal customers to understand data needs.

Required Skills:
More than 2 years of advanced Python or Java development is necessary. Scala or Kotlin experience is a plus.
More than 2 years of SQL (such as PostgreSQL, Oracle, AWS Redshift, or Hive) experience is required. NoSQL experience is a plus.
More than 2 years working with Linux OS. Knowledge of networks and cybersecurity is a plus.
Experience with modern MapReduce/workflow distributed systems, especially Apache Spark. Experience with Apache Kafka is a plus.
Experience working with infrastructure-as-code systems like AWS CloudFormation.
DevOps experience is a plus.
Experience in custom ETL pipeline design, implementation and maintenance.
Experience working with visualization tools like Tableau or Apache Superset.
Interested candidate can share there updated resume at recruitment at aryan-solutions dot com or call at +65 67087429 for a confidential discussion."
"AVP Data Scientist",Hays,Singapore,"$7,000 a month","As the data scientist, you will be a part of a team of driven and aspiring individuals who are looking to derive value from the abundance of data through data…","4-5 years of proven experience in Data Science and AML/ Compliance
Your new company
A leading multinational bank in Singapore is growing their data science team to develop new products and tools for compliance, AML, fraud detection, understanding customer sentiments and more in order to ultimately solve business problems.

Your new role
As the data scientist, you will be a part of a team of driven and aspiring individuals who are looking to derive value from the abundance of data through data exploration, feature engineering, building of models, applying machine learning techniques and designing of algorithms for productionisation. In particular, you will be passionate about developing your expertise in Compliance, AML, Natural Language Processing (NLP), Anomaly Detection, Fraud Detection, Computer Vision and more. You will be an innovator and an inquisitive individual looking to constantly improve the existing tools and products to value add to the business and solve business problems efficiently.

What you need to succeed
The successful individual will embody the following:
Postgraduate degree in Statistics, Mathematics, Computer Science, Engineering, Artificial Intelligence (AI), Machine Learning (ML) or a related field
Strong knowledge and experience working with tools and languages like Python, R, Machine Learning Algorithms
Experience or knowledge working on related financial products will be an advantage but not a prerequisite
Clear communicator, with the ability to articulate ideas with data
Strong results driven personality with an innovative spirit

What you will get in return
Aside from the opportunity to be working within a prestigious organisation and with the latest technologies, you will also receive an attractive remuneration package and the ability to continue developing your skills and expertise, contributing to the business directly.

What you need to do now
If you’re interested in this role, click ‘apply now’ to forward an up-to-date copy of your CV or send your CV to Elysia Lim at elysia.lim@hays.com.sg. If this role is not of interest to you now, I will still be happy to have a confidential discussion about your profile and career prospects. EA Reg Number: R2090492 EA Licence Number: 07C3924 Company Registration No. 200609504D
. #1170916"
